Hour;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
WdayWint-1.97;122;118;117;119;141;153;171;178;164;160;151;146;145;144;152;161;172;181;189;187;179;168;150;135
WdayWint-1.97std;23;24;25;32;42;36;38;35;28;27;28;25;29;25;28;31;35;34;33;29;27;29;25;24
WdayWint-7.36;144;140;139;147;187;202;217;207;192;180;176;172;169;170;176;195;206;214;218;210;208;187;165;151
WdayWint-7.36std;25;23;23;30;55;46;39;33;27;25;27;24;25;27;29;34;36;33;35;30;30;28;24;24
WdayWint-17.39;149;153;160;166;190;241;285;268;243;227;222;201;205;204;213;233;246;263;258;253;250;222;198;164
WdayWint-17.39std;28;28;33;37;49;59;70;67;61;57;46;37;41;42;42;54;53;54;55;46;54;47;41;27
WendWint-2.31;129;121;119;123;137;143;163;169;167;173;185;179;175;178;176;171;178;190;189;186;178;166;156;136
WendWint-2.31std;26;24;27;32;37;37;42;36;31;30;40;38;29;31;31;31;30;40;35;32;26;26;24;22
WendWint-7.43;150;147;143;150;181;182;182;191;197;195;203;197;191;185;192;200;207;218;219;213;207;180;166;155
WendWint-7.43std;22;22;20;21;44;36;31;29;27;30;33;30;32;29;32;36;36;37;38;29;30;26;24;24
WendWint-11.55;155;156;155;169;204;217;234;246;253;243;243;222;219;215;229;231;229;233;239;226;220;205;173;162
WendWint-11.55std;25;25;26;43;55;52;51;46;36;34;35;34;33;31;47;40;39;34;40;30;29;35;30;27
WdayAut11.65;48;43;42;43;45;49;53;58;54;52;47;46;45;43;44;51;58;65;66;69;70;66;63;54
WdayAut11.65std;13;11;11;11;11;13;14;14;17;17;16;18;18;17;18;20;20;21;21;22;20;20;20;16
WdayAut7.8;58;52;50;56;73;74;78;83;77;72;68;66;64;65;67;72;80;90;93;96;94;84;75;66
WdayAut7.8std;16;13;12;14;21;18;19;21;18;18;18;19;20;19;20;22;24;26;25;22;22;22;21;18
WdayAut3;85;79;76;83;108;111;111;119;112;103;94;92;85;85;88;94;103;105;112;112;111;104;99;91
WdayAut3std;22;19;19;22;29;26;21;28;24;23;21;22;20;20;23;26;28;26;26;23;21;22;25;23
WendAut11.6;49;48;42;42;47;46;45;50;58;62;65;66;61;56;61;64;71;72;71;70;69;62;60;56
WendAut11.6std;16;15;11;11;16;13;11;14;16;16;26;24;24;21;25;24;27;29;25;23;23;19;19;16
WendAut7.88;59;56;52;54;68;67;67;72;77;78;77;79;81;77;83;84;90;88;90;96;93;83;76;65
WendAut7.88std;16;16;13;14;22;17;16;17;20;20;20;21;26;25;29;24;26;25;23;24;25;25;23;18
WendAut2.55;80;75;75;75;93;98;101;121;121;117;116;112;107;107;104;107;112;121;114;118;115;107;100;91
WendAut2.55std;19;18;19;21;28;28;23;31;25;23;26;25;22;24;26;29;29;34;29;29;27;29;26;24
WdaySum17.72;31;26;26;28;28;30;33;34;38;41;38;34;34;34;35;36;40;41;42;44;44;43;40;37
WdaySum17.72std;12;11;12;13;13;14;14;14;17;20;20;16;16;17;18;17;18;19;19;19;19;18;15;15
WdaySum12.9;31;34;29;30;32;36;42;45;43;44;44;42;44;42;43;45;47;54;55;56;54;49;45;39
WdaySum12.9std;13;11;11;11;11;12;15;16;17;18;20;17;21;18;18;19;19;22;21;21;19;16;17;16
WendSum16.9;34;29;29;28;28;28;28;30;34;39;41;42;42;39;40;37;41;43;45;45;39;39;38;36
WendSum16.9std;14;12;13;14;12;11;12;13;15;16;17;21;20;18;19;21;22;24;22;20;15;17;15;14
WendSum12.65;37;32;29;31;31;33;34;37;48;49;46;46;46;42;52;50;49;49;48;53;53;53;43;38
WendSum12.65std;14;11;9;11;11;11;13;13;18;20;18;19;19;17;22;20;19;18;19;21;21;20;15;13
