Hour;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
WdayWint-2.24;94;80;75;81;86;97;96;101;100;102;103;102;102;103;106;123;134;153;172;181;179;164;137;113
WdayWint-2.24std;38;32;31;34;38;43;41;40;45;48;54;58;54;55;47;62;58;59;65;63;59;51;46;42
WdayWint-7.37;101;86;82;87;92;105;103;109;108;110;111;110;110;111;114;133;144;165;185;195;193;177;148;122
WdayWint-7.37std;35;35;33;33;34;53;42;45;42;44;49;55;43;45;46;54;59;61;56;56;53;59;44;40
WdayWint-11.75;106;90;85;91;97;110;108;115;113;115;115;116;115;116;120;139;151;173;194;204;202;186;155;128
WdayWint-11.75std;40;34;36;43;57;53;51;51;46;52;55;42;49;45;47;53;50;47;49;64;55;62;48;44
WendWint-2.44;102;91;71;70;76;75;88;97;102;107;126;144;151;154;164;167;175;188;213;207;193;162;147;122
WendWint-2.44std;34;37;25;29;36;39;49;52;48;50;61;67;70;71;79;77;70;71;78;67;62;47;50;42
WendWint-7.04;118;97;86;84;83;87;91;97;112;128;147;149;150;154;164;168;176;188;214;204;198;171;157;137
WendWint-7.04std;40;35;33;33;33;36;39;41;56;67;85;65;57;73;65;66;61;71;81;62;65;48;49;43
WendWint-11.96;119;109;105;102;101;100;105;107;114;139;152;151;153;159;167;176;200;214;216;215;192;177;171;156
WendWint-11.96std;49;53;44;42;38;38;48;41;48;56;62;65;61;54;61;64;73;83;81;73;69;49;51;54
WdayAut12.01;70;59;52;49;51;57;64;70;68;71;73;74;74;68;73;82;95;114;126;133;131;120;106;88
WdayAut12.01std;34;29;28;27;25;29;34;42;40;43;41;44;42;40;47;52;52;53;58;58;49;40;43;39
WdayAut7.61;82;69;61;58;59;67;74;82;80;83;86;87;86;80;85;96;111;134;147;156;154;141;124;103
WdayAut7.61std;38;31;22;24;25;33;33;40;39;44;43;45;44;40;46;47;54;61;56;57;57;49;48;45
WdayAut2.94;81;68;60;57;59;66;74;81;79;82;85;86;85;79;84;95;110;133;146;154;152;139;123;102
WdayAut2.94std;37;30;28;22;27;28;30;34;29;37;43;44;43;37;41;43;50;70;60;57;45;41;44;44
WendAut11.83;80;63;54;50;50;48;52;68;69;83;86;93;100;96;102;103;116;122;128;134;130;118;101;90
WendAut11.83std;42;27;18;17;30;23;24;52;44;44;60;52;54;52;57;53;66;63;58;64;51;51;33;33
WendAut7.83;96;76;65;60;60;58;63;81;83;100;103;112;120;115;123;124;141;147;154;160;156;142;121;108
WendAut7.83std;38;31;26;29;27;16;27;36;43;51;46;52;64;54;66;63;67;56;65;59;52;45;55;52
WendAut2.65;98;78;66;62;62;60;65;84;87;103;106;115;123;118;126;127;145;151;158;166;160;146;124;111
WendAut2.65std;45;37;25;23;23;23;30;50;39;60;50;59;68;62;62;62;67;66;71;63;67;52;42;43
WdaySum18.1;63;50;47;45;42;47;55;62;59;62;65;70;65;65;65;69;74;80;78;88;87;78;75;72
WdaySum18.1std;32;27;32;31;19;26;27;36;35;35;42;46;40;40;44;43;44;50;41;47;42;34;32;34
WdaySum13.25;66;53;50;46;47;56;63;73;72;73;78;76;73;74;72;81;84;101;106;113;106;102;85;74
WdaySum13.25std;31;21;18;20;30;24;32;43;44;42;51;43;46;42;43;47;49;58;54;51;43;42;;
WendSum16.82;41;36;34;34;32;31;29;31;35;39;44;53;55;54;56;52;54;46;48;49;62;63;56;46
WendSum16.82std;26;26;24;26;25;26;26;27;26;27;29;30;32;30;30;29;29;29;27;26;30;32;30;29
WendSum12.57;45;38;36;36;34;34;31;33;38;41;47;56;58;57;59;55;58;49;52;53;66;67;60;49
WendSum12.57std;24;20;18;22;19;19;17;21;21;22;24;29;27;27;26;24;43;22;23;21;28;26;26;21
