Hour;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
WdayWint:-5;0.863;0.858;0.853;0.848;0.98;1.313;1.774;2.075;2.289;2.45;2.497;2.423;2.319;2.267;2.207;1.949;1.637;1.396;1.158;0.968;0.872;0.857;0.844;0.836
WdayWint:-20;0.845;0.831;0.817;0.829;1.004;1.588;2.171;2.619;2.889;3.123;3.22;3.124;2.984;2.94;2.94;2.405;1.746;1.506;1.331;1.087;0.9;0.847;0.847;0.84
WendWint:-5;0.698;0.652;0.66;0.668;0.683;0.775;0.875;0.976;1.006;1.081;1.107;1.107;1.075;1.025;0.993;0.903;0.811;0.803;0.782;0.752;0.76;0.754;0.703;0.719
WendWint:-20;0.717;0.717;0.717;0.731;0.794;0.885;0.975;1.066;1.14;1.208;1.238;1.238;1.197;1.122;1.082;0.992;0.912;0.912;0.901;0.872;0.837;0.772;0.749;0.749
WdayAut:20;0.179;0.179;0.179;0.179;0.207;0.283;0.398;0.584;0.742;0.882;0.997;1.018;1.026;1.026;1;0.915;0.804;0.665;0.539;0.409;0.286;0.251;0.244;0.231
WdayAut:5;0.456;0.456;0.462;0.498;0.534;0.771;1.017;1.393;1.594;1.737;1.822;1.78;1.704;1.648;1.594;1.464;1.249;1.051;0.817;0.649;0.563;0.535;0.521;0.521
WendAut:20;0.163;0.174;0.167;0.145;0.13;0.13;0.151;0.179;0.201;0.224;0.238;0.252;0.265;0.268;0.244;0.242;0.213;0.195;0.195;0.191;0.171;0.173;0.192;0.186
WendAut:5;0.39;0.403;0.406;0.409;0.438;0.462;0.481;0.512;0.549;0.603;0.649;0.632;0.611;0.6;0.589;0.569;0.552;0.543;0.505;0.502;0.477;0.452;0.438;0.438
WdaySum:20;0.179;0.179;0.179;0.179;0.207;0.283;0.398;0.584;0.742;0.882;0.997;1.018;1.026;1.026;1;0.915;0.804;0.665;0.539;0.409;0.286;0.251;0.244;0.231
WdaySum:5;0.456;0.456;0.462;0.498;0.534;0.771;1.017;1.393;1.594;1.737;1.822;1.78;1.704;1.648;1.594;1.464;1.249;1.051;0.817;0.649;0.563;0.535;0.521;0.521
WendSum:20;0.163;0.174;0.167;0.145;0.13;0.13;0.151;0.179;0.201;0.224;0.238;0.252;0.265;0.268;0.244;0.242;0.213;0.195;0.195;0.191;0.171;0.173;0.192;0.186
WendSum:5;0.39;0.403;0.406;0.409;0.438;0.462;0.481;0.512;0.549;0.603;0.649;0.632;0.611;0.6;0.589;0.569;0.552;0.543;0.505;0.502;0.477;0.452;0.438;0.438
