Week;Flerbostad;Småhus Direktel;Småhus Luftvärmepump;Småhus Hushållsel;Småhus Medel
1;2.22;3.231;3.319;2.463;3.004333333
2;2.22;3.109;3.285;2.463;2.952333333
3;2.22;3.231;3.367;2.463;3.020333333
4;2.22;3.109;3.367;2.425;2.967
5;2.22;3.21;3.172;2.428;2.936666667
6;2.22;3.039;3.135;2.365;2.846333333
7;2.22;3.039;3.012;2.365;2.805333333
8;2.22;3.12;2.994;2.392;2.835333333
9;2.22;3.185;3.224;2.424;2.944333333
10;2.22;3.155;3.44;2.424;3.006333333
11;2.13;3.176;3.319;2.424;2.973
12;2.04;3.254;3.285;2.424;2.987666667
13;1.96;2.997;3.054;2.321;2.790666667
14;1.96;2.745;2.715;2.196;2.552
15;1.96;2.406;2.436;2.012;2.284666667
16;1.96;2.217;2.3;1.988;2.168333333
17;1.96;2.13;2.233;1.957;2.106666667
18;1.96;1.673;1.642;1.891;1.735333333
19;1.96;1.328;1.36;1.871;1.519666667
20;1.96;1.379;1.459;1.915;1.584333333
21;1.96;1.309;1.352;1.842;1.501
22;1.85;1.298;1.262;1.779;1.446333333
23;1.74;1.188;1.167;1.746;1.367
24;1.62;1.086;1.038;1.607;1.243666667
25;1.62;0.976;0.859;1.456;1.097
26;1.62;0.951;0.823;1.39;1.054666667
27;1.62;0.925;0.805;1.39;1.04
28;1.62;0.962;0.85;1.436;1.082666667
29;1.62;0.951;0.847;1.418;1.072
30;1.62;0.902;0.873;1.399;1.058
31;1.62;0.964;0.941;1.507;1.137333333
32;1.62;1.014;0.97;1.479;1.154333333
33;1.62;1.048;1.016;1.569;1.211
34;1.74;1.095;1.084;1.668;1.282333333
35;1.85;1.263;1.257;1.846;1.455333333
36;1.96;1.412;1.342;1.85;1.534666667
37;1.96;1.395;1.367;1.881;1.547666667
38;1.96;1.334;1.341;1.85;1.508333333
39;1.96;1.385;1.329;1.827;1.513666667
40;1.96;1.427;1.345;1.813;1.528333333
41;1.96;1.364;1.244;1.799;1.469
42;1.96;1.718;1.521;1.86;1.699666667
43;2.04;2.123;1.89;1.991;2.001333333
44;2.13;2.563;2.365;2.17;2.366
45;2.22;2.768;2.657;2.225;2.55
46;2.22;2.861;2.664;2.269;2.598
47;2.22;2.93;2.846;2.281;2.685666667
48;2.22;3.057;2.748;2.33;2.711666667
49;2.22;3.155;2.982;2.374;2.837
50;2.22;3.05;2.888;2.325;2.754333333
51;2.22;3.231;2.748;2.325;2.768
52;2.22;3.05;2.748;2.325;2.707666667
;103.04;109.488;107.287;104.238;107.0043333
