Daytime,Max,Mean,Min
Friday00:00,1622.0,1218.0156794425086,833.0
Friday01:00,1607.0,1203.376306620209,824.0
Friday02:00,1590.0,1198.2526132404182,829.0
Friday03:00,1610.0,1208.5365853658536,826.0
Friday04:00,1633.0,1262.6881533101046,826.0
Friday05:00,1767.0,1417.1167247386759,887.0
Friday06:00,2027.0,1632.6324041811847,944.0
Friday07:00,2221.0,1774.6463414634147,989.0
Friday08:00,2271.0,1808.9878048780488,1018.0
Friday09:00,2271.0,1822.9703832752614,1027.0
Friday10:00,2305.0,1823.5592334494775,1015.0
Friday11:00,2281.0,1788.2003484320558,1004.0
Friday12:00,2207.0,1743.2282229965156,995.0
Friday13:00,2197.0,1686.945993031359,967.0
Friday14:00,2117.0,1619.1463414634147,941.0
Friday15:00,2064.0,1538.2508710801394,921.0
Friday16:00,1952.0,1464.3240418118467,886.0
Friday17:00,1879.0,1401.9825783972126,849.0
Friday18:00,1840.0,1346.5522648083625,819.0
Friday19:00,1752.0,1294.8101045296166,802.0
Friday20:00,1666.0,1243.3397212543555,796.0
Friday21:00,1606.0,1193.7491289198606,820.0
Friday22:00,1522.0,1149.5418118466898,816.0
Friday23:00,1460.0,1117.6707317073171,797.0
Monday00:00,1482.0,1140.4494773519164,772.0
Monday01:00,1484.0,1136.3292682926829,765.0
Monday02:00,1475.0,1140.7299651567944,768.0
Monday03:00,1509.0,1159.8728222996515,775.0
Monday04:00,1592.0,1226.4163763066201,824.0
Monday05:00,1861.0,1400.8588850174217,943.0
Monday06:00,2085.0,1639.5400696864112,1013.0
Monday07:00,2239.0,1799.642857142857,1053.0
Monday08:00,2332.0,1843.1864111498257,1078.0
Monday09:00,2322.0,1865.2160278745644,1103.0
Monday10:00,2356.0,1879.7752613240418,1103.0
Monday11:00,2311.0,1860.5557491289198,1096.0
Monday12:00,2286.0,1855.773519163763,1117.0
Monday13:00,2302.0,1848.5,1105.0
Monday14:00,2268.0,1818.0975609756097,1074.0
Monday15:00,2243.0,1735.0226480836236,1076.0
Monday16:00,2140.0,1643.6533101045295,1039.0
Monday17:00,2059.0,1575.2351916376306,1021.0
Monday18:00,2000.0,1526.801393728223,997.0
Monday19:00,1962.0,1484.6114982578397,962.0
Monday20:00,1917.0,1433.4512195121952,926.0
Monday21:00,1836.0,1375.1254355400697,914.0
Monday22:00,1754.0,1311.4982578397212,869.0
Monday23:00,1664.0,1259.047038327526,840.0
Saturday00:00,1441.0,1096.1045296167247,788.0
Saturday01:00,1419.0,1081.869337979094,778.0
Saturday02:00,1415.0,1075.7229965156794,773.0
Saturday03:00,1412.0,1073.0331010452962,748.0
Saturday04:00,1426.0,1081.726480836237,750.0
Saturday05:00,1454.0,1118.520905923345,777.0
Saturday06:00,1525.0,1172.0522648083625,812.0
Saturday07:00,1576.0,1220.1480836236933,852.0
Saturday08:00,1656.0,1256.219512195122,897.0
Saturday09:00,1701.0,1284.7543554006968,917.0
Saturday10:00,1711.0,1297.3170731707316,912.0
Saturday11:00,1701.0,1290.3379790940767,923.0
Saturday12:00,1697.0,1278.3850174216027,927.0
Saturday13:00,1688.0,1260.6602787456445,919.0
Saturday14:00,1644.0,1241.0452961672474,907.0
Saturday15:00,1638.0,1227.5783972125435,898.0
Saturday16:00,1668.0,1217.1724738675957,890.0
Saturday17:00,1629.0,1201.0191637630662,876.0
Saturday18:00,1617.0,1183.4425087108013,864.0
