Timedate,Max,Mean,Min
1.1.00:00,1170.0,1006.0,913.0
1.1.01:00,1164.0,992.4545454545455,882.0
1.1.02:00,1158.0,988.5454545454545,893.0
1.1.03:00,1158.0,988.0,895.0
1.1.04:00,1163.0,996.0,908.0
1.1.05:00,1175.0,1016.7272727272727,916.0
1.1.06:00,1201.0,1059.8181818181818,924.0
1.1.07:00,1226.0,1097.4545454545455,973.0
1.1.08:00,1222.0,1110.3636363636363,989.0
1.1.09:00,1221.0,1105.909090909091,985.0
1.1.10:00,1228.0,1122.0,1009.0
1.1.11:00,1241.0,1132.909090909091,1010.0
1.1.12:00,1245.0,1142.3636363636363,1022.0
1.1.13:00,1264.0,1150.4545454545455,1045.0
1.1.14:00,1280.0,1163.2727272727273,1042.0
1.1.15:00,1294.0,1181.4545454545455,1064.0
1.1.16:00,1347.0,1210.2727272727273,1104.0
1.1.17:00,1348.0,1201.4545454545455,1101.0
1.1.18:00,1337.0,1180.5454545454545,1076.0
1.1.19:00,1332.0,1164.8181818181818,1048.0
1.1.20:00,1315.0,1139.909090909091,1027.0
1.1.21:00,1287.0,1112.5454545454545,1001.0
1.1.22:00,1252.0,1087.0,967.0
1.1.23:00,1239.0,1078.3636363636363,937.0
1.10.00:00,1248.0,1127.909090909091,1007.0
1.10.01:00,1228.0,1121.3636363636363,1005.0
1.10.02:00,1215.0,1122.1818181818182,992.0
1.10.03:00,1239.0,1143.4545454545455,992.0
1.10.04:00,1371.0,1224.6363636363637,1030.0
1.10.05:00,1630.0,1426.7272727272727,1075.0
1.10.06:00,1872.0,1602.5454545454545,1096.0
1.10.07:00,1944.0,1673.5454545454545,1117.0
1.10.08:00,1951.0,1682.1818181818182,1161.0
1.10.09:00,1988.0,1712.090909090909,1200.0
1.10.10:00,2011.0,1712.909090909091,1218.0
1.10.11:00,1966.0,1681.090909090909,1214.0
1.10.12:00,1972.0,1688.4545454545455,1223.0
1.10.13:00,1932.0,1658.2727272727273,1225.0
1.10.14:00,1905.0,1621.7272727272727,1206.0
1.10.15:00,1766.0,1519.2727272727273,1185.0
1.10.16:00,1679.0,1458.4545454545455,1171.0
1.10.17:00,1628.0,1418.7272727272727,1146.0
1.10.18:00,1603.0,1415.0,1169.0
1.10.19:00,1546.0,1363.6363636363637,1124.0
1.10.20:00,1485.0,1300.0,1079.0
1.10.21:00,1415.0,1241.3636363636363,1050.0
1.10.22:00,1337.0,1195.5454545454545,1020.0
1.10.23:00,1279.0,1150.3636363636363,985.0
1.11.00:00,1307.0,1181.090909090909,996.0
1.11.01:00,1301.0,1157.3636363636363,989.0
1.11.02:00,1271.0,1149.1818181818182,995.0
1.11.03:00,1291.0,1151.3636363636363,979.0
1.11.04:00,1317.0,1173.0,982.0
1.11.05:00,1420.0,1255.6363636363637,1002.0
1.11.06:00,1683.0,1444.4545454545455,1064.0
1.11.07:00,1913.0,1616.090909090909,1081.0
1.11.08:00,2001.0,1674.7272727272727,1110.0
1.11.09:00,2011.0,1686.090909090909,1147.0
1.11.10:00,2063.0,1721.1818181818182,1190.0
1.11.11:00,2042.0,1709.909090909091,1196.0
1.11.12:00,2026.0,1677.5454545454545,1193.0
1.11.13:00,2018.0,1678.0,1176.0
1.11.14:00,2023.0,1656.909090909091,1183.0
1.11.15:00,1972.0,1627.4545454545455,1156.0
1.11.16:00,1850.0,1568.3636363636363,1192.0
1.11.17:00,1800.0,1529.5454545454545,1185.0
1.11.18:00,1705.0,1464.4545454545455,1151.0
1.11.19:00,1672.0,1422.1818181818182,1113.0
1.11.20:00,1589.0,1368.0,1085.0
1.11.21:00,1511.0,1307.0,1051.0
1.11.22:00,1462.0,1256.1818181818182,1034.0
1.11.23:00,1396.0,1205.909090909091,1008.0
1.12.00:00,1491.0,1292.7272727272727,1105.0
1.12.01:00,1472.0,1281.3636363636363,1089.0
1.12.02:00,1458.0,1272.6363636363637,1076.0
1.12.03:00,1464.0,1272.6363636363637,1079.0
1.12.04:00,1494.0,1290.5454545454545,1075.0
1.12.05:00,1591.0,1364.090909090909,1077.0
1.12.06:00,1820.0,1546.0,1139.0
1.12.07:00,2064.0,1730.909090909091,1182.0
1.12.08:00,2131.0,1791.8181818181818,1205.0
1.12.09:00,2137.0,1793.6363636363637,1226.0
1.12.10:00,2162.0,1828.5454545454545,1275.0
1.12.11:00,2169.0,1824.909090909091,1301.0
1.12.12:00,2136.0,1797.2727272727273,1307.0
1.12.13:00,2131.0,1796.5454545454545,1302.0
1.12.14:00,2102.0,1775.5454545454545,1301.0
1.12.15:00,2073.0,1766.090909090909,1325.0
1.12.16:00,1965.0,1702.5454545454545,1339.0
1.12.17:00,1899.0,1649.5454545454545,1335.0
1.12.18:00,1817.0,1578.8181818181818,1310.0
1.12.19:00,1781.0,1539.1818181818182,1285.0
1.12.20:00,1706.0,1496.2727272727273,1256.0
1.12.21:00,1632.0,1434.1818181818182,1217.0
1.12.22:00,1554.0,1372.0,1165.0
1.12.23:00,1486.0,1323.2727272727273,1135.0
1.2.00:00,1524.0,1333.2727272727273,1153.0
1.2.01:00,1493.0,1315.3636363636363,1131.0
1.2.02:00,1492.0,1305.090909090909,1108.0
1.2.03:00,1497.0,1314.6363636363637,1095.0
1.2.04:00,1521.0,1333.0,1088.0
1.2.05:00,1631.0,1418.1818181818182,1125.0
1.2.06:00,1893.0,1619.4545454545455,1199.0
1.2.07:00,2170.0,1825.090909090909,1236.0
1.2.08:00,2256.0,1894.4545454545455,1252.0
1.2.09:00,2254.0,1898.7272727272727,1279.0
1.2.10:00,2296.0,1932.8181818181818,1320.0
1.2.11:00,2263.0,1931.5454545454545,1332.0
1.2.12:00,2212.0,1892.090909090909,1324.0
1.2.13:00,2252.0,1890.909090909091,1320.0
1.2.14:00,2206.0,1855.8181818181818,1307.0
1.2.15:00,2178.0,1829.8181818181818,1302.0
1.2.16:00,2046.0,1741.3636363636363,1321.0
1.2.17:00,1994.0,1704.7272727272727,1321.0
1.2.18:00,1904.0,1633.4545454545455,1282.0
1.2.19:00,1848.0,1591.6363636363637,1256.0
1.2.20:00,1769.0,1533.090909090909,1223.0
1.2.21:00,1701.0,1470.2727272727273,1174.0
1.2.22:00,1645.0,1413.0,1133.0
1.2.23:00,1561.0,1360.5454545454545,1125.0
1.3.00:00,1629.0,1328.0,1124.0
1.3.01:00,1626.0,1318.3636363636363,1115.0
1.3.02:00,1614.0,1307.7272727272727,1114.0
1.3.03:00,1597.0,1304.909090909091,1095.0
1.3.04:00,1619.0,1325.2727272727273,1124.0
1.3.05:00,1769.0,1410.6363636363637,1146.0
1.3.06:00,2039.0,1604.8181818181818,1191.0
1.3.07:00,2250.0,1776.090909090909,1213.0
1.3.08:00,2357.0,1846.090909090909,1213.0
